,return_1d,return_3d,return_5d,return_10d,return_20d,return_60d,log_return_1d,gap_return,price_location_20d,sma_5,price_to_sma_5_ratio,sma_10,price_to_sma_10_ratio,sma_20,price_to_sma_20_ratio,sma_50,price_to_sma_50_ratio,sma_100,price_to_sma_100_ratio,sma_200,price_to_sma_200_ratio,ema_9,price_to_ema_9_ratio,ema_21,price_to_ema_21_ratio,ema_50,price_to_ema_50_ratio,ema_9_to_21_spread,sma_20_to_50_spread,sma_50_to_200_spread,rsi_14,rsi_momentum_5d,roc_5d,roc_10d,roc_20d,roc_60d,momentum_norm_5d,momentum_norm_10d,momentum_norm_20d,momentum_norm_60d,return_acceleration_5d,volatility_10d,volatility_20d,volatility_60d,atr_14,atr_pct_14,candle_range_pct,downside_volatility_20d,volume_change_1d,volume_sma_10d,volume_to_sma_10_ratio,volume_sma_20d,volume_to_sma_20_ratio,volume_momentum_5d,turnover,turnover_sma_20d,relative_return_5d,relative_return_20d,relative_return_60d,benchmark_ratio,relative_ratio_roc_20d,regime_bench_above_sma50,regime_bench_above_sma200,regime_bench_return_20d,regime_bench_volatility_20d,regime_market_state,has_sufficient_history,has_full_warmup
price_to_sma_5_ratio,0.7608,0.9471,0.8286,0.5874,0.4632,0.2888,0.7636,0.2482,0.5728,-0.0109,1.0,-0.0163,0.8782,-0.0194,0.6989,-0.0217,0.4847,-0.0239,0.3631,-0.0233,0.2684,-0.0126,0.9116,-0.0174,0.7343,-0.0207,0.5373,0.3422,0.0868,0.0283,0.5781,0.7071,0.8286,0.5874,0.4632,0.2888,0.8347,0.6248,0.5052,0.3179,0.6085,-0.0403,-0.0349,-0.0204,-0.0297,-0.1991,-0.2684,-0.2264,-0.0098,0.0027,0.0665,0.0035,0.0475,-0.0143,0.0111,-0.0116,0.7255,0.4165,0.2588,0.0047,0.4199,0.1853,0.0744,0.2067,0.0541,0.1842,,-0.0011
sma_10,-0.0071,-0.0163,-0.0118,0.0114,0.016,0.0411,-0.0063,-0.026,0.0204,0.9998,-0.0163,1.0,-0.0086,0.9997,0.011,0.9979,0.0376,0.9947,0.0507,0.9884,0.0785,1.0,-0.0042,0.9998,0.0151,0.9987,0.0385,0.0375,0.0519,0.0798,0.0387,-0.031,-0.0118,0.0114,0.016,0.0411,-0.0086,0.0111,0.0171,0.0423,-0.0276,-0.0442,-0.0564,-0.0534,0.9471,-0.0598,-0.0224,-0.066,-0.0234,-0.2594,-0.0137,-0.2702,-0.008,-0.0167,-0.0847,-0.1016,0.0087,0.0336,0.0695,0.9677,0.0341,-0.0017,-0.0463,-0.0265,0.0342,-0.0015,,0.0115
price_to_sma_10_ratio,0.58,0.8363,0.935,0.8398,0.6268,0.397,0.5846,0.1859,0.7229,0.0015,0.8782,-0.0086,1.0,-0.0154,0.8913,-0.0197,0.6456,-0.0229,0.4886,-0.0234,0.3619,-0.0035,0.9852,-0.0118,0.8981,-0.0177,0.6999,0.584,0.1529,0.0463,0.7501,0.713,0.935,0.8398,0.6268,0.397,0.9217,0.8503,0.6548,0.4149,0.513,-0.0343,-0.0308,-0.0247,-0.0247,-0.2121,-0.2377,-0.2956,-0.0087,0.0077,0.0373,0.0006,0.0304,-0.0166,0.0015,-0.0192,0.8173,0.5551,0.346,0.0147,0.5582,0.2532,0.1054,0.2946,0.0563,0.2677,,-0.0019
sma_20,-0.0085,-0.0191,-0.0167,-0.0001,0.0019,0.0328,-0.0078,-0.0256,0.009,0.9992,-0.0194,0.9997,-0.0154,1.0,-0.002,0.9988,0.025,0.9958,0.0406,0.9895,0.0707,0.9996,-0.0122,0.9999,0.0029,0.9993,0.0261,0.0225,0.0445,0.0779,0.0264,-0.0302,-0.0167,-0.0001,0.0019,0.0328,-0.0138,-0.0003,0.0032,0.0342,-0.0234,-0.0424,-0.0555,-0.0526,0.9483,-0.0566,-0.02,-0.0591,-0.0235,-0.2596,-0.0128,-0.2705,-0.0068,-0.0166,-0.0843,-0.1016,0.0044,0.0214,0.0625,0.9671,0.0219,-0.0071,-0.0493,-0.0338,0.0344,-0.0076,,0.0116
price_to_sma_20_ratio,0.4384,0.6675,0.7978,0.919,0.8518,0.5311,0.4432,0.1307,0.8331,0.0214,0.6989,0.011,0.8913,-0.002,1.0,-0.0122,0.82,-0.0172,0.6376,-0.0193,0.4764,0.0149,0.9158,0.0027,0.9807,-0.0079,0.8534,0.8451,0.3285,0.0847,0.8842,0.4721,0.7978,0.919,0.8518,0.5311,0.7841,0.9114,0.8576,0.5313,0.2386,-0.0325,-0.0059,-0.0124,-0.0135,-0.1971,-0.1869,-0.3677,-0.0001,0.0246,0.0177,0.0103,0.0098,-0.0174,-0.0034,-0.0184,0.6969,0.7468,0.4536,0.0326,0.7489,0.3337,0.1433,0.4139,0.0358,0.3674,,-0.0038
sma_50,-0.0096,-0.0209,-0.0202,-0.0067,-0.0158,0.0078,-0.0091,-0.0267,-0.0008,0.9973,-0.0217,0.9979,-0.0197,0.9988,-0.0122,1.0,-0.0012,0.9983,0.0143,0.9927,0.049,0.9979,-0.0183,0.9989,-0.0119,0.9998,0.002,-0.0003,0.0116,0.0662,0.0086,-0.024,-0.0202,-0.0067,-0.0158,0.0078,-0.0177,-0.0073,-0.0142,0.0092,-0.0219,-0.0394,-0.0523,-0.0492,0.9496,-0.0499,-0.0165,-0.0498,-0.0234,-0.2602,-0.0121,-0.2712,-0.0053,-0.0163,-0.084,-0.102,0.0014,0.006,0.0404,0.9657,0.0065,-0.0181,-0.0574,-0.0426,0.0385,-0.0176,,0.0111
price_to_sma_50_ratio,0.2972,0.4629,0.5661,0.7048,0.8688,0.8041,0.3009,0.0945,0.703,0.0454,0.4847,0.0376,0.6456,0.025,0.82,-0.0012,1.0,-0.0163,0.8883,-0.0232,0.6916,0.0398,0.6903,0.0262,0.8911,0.0069,0.9826,0.9518,0.809,0.2576,0.8834,0.1855,0.5661,0.7048,0.8688,0.8041,0.5564,0.6973,0.8537,0.791,0.1193,-0.0174,-0.0034,-0.0265,0.0021,-0.1827,-0.1319,-0.35,-0.0071,0.0547,0.0076,0.045,-0.0048,-0.0221,-0.0074,-0.0163,0.4893,0.7541,0.6885,0.0503,0.7542,0.4112,0.2224,0.4355,-0.0403,0.419,,0.0154
sma_100,-0.0112,-0.0227,-0.0226,-0.0105,-0.0225,-0.0224,-0.0107,-0.0288,-0.0052,0.994,-0.0239,0.9947,-0.0229,0.9958,-0.0172,0.9983,-0.0163,1.0,-0.0162,0.9968,0.0166,0.9947,-0.0221,0.9961,-0.0199,0.9984,-0.0176,-0.0122,-0.0083,0.0325,-0.0012,-0.0216,-0.0226,-0.0105,-0.0225,-0.0224,-0.0201,-0.0112,-0.0209,-0.0219,-0.0219,-0.0369,-0.0482,-0.0413,0.9481,-0.0439,-0.0146,-0.0448,-0.0228,-0.2603,-0.0117,-0.2713,-0.0053,-0.0161,-0.0828,-0.1009,-0.0004,0.0014,0.0148,0.9626,0.0019,-0.0273,-0.073,-0.0481,0.0431,-0.0258,,0.0115
price_to_sma_100_ratio,0.2257,0.3455,0.4244,0.5401,0.6988,0.9399,0.2278,0.0923,0.5411,0.0566,0.3631,0.0507,0.4886,0.0406,0.6376,0.0143,0.8883,-0.0162,1.0,-0.0355,0.8796,0.0523,0.5274,0.0407,0.7233,0.0188,0.9274,0.8143,0.8109,0.5838,0.7384,0.0918,0.4244,0.5401,0.6988,0.9399,0.4155,0.5324,0.6821,0.917,0.0789,-0.008,-0.0004,-0.0338,0.0217,-0.135,-0.0861,-0.2588,-0.021,0.0604,0.0048,0.0544,-0.0013,-0.023,-0.0175,-0.0258,0.3593,0.5895,0.7938,0.0615,0.5885,0.3986,0.3198,0.3804,-0.0668,0.3946,,0.0038
sma_200,-0.011,-0.0221,-0.0231,-0.0122,-0.0259,-0.0371,-0.0103,-0.0323,-0.0068,0.9876,-0.0233,0.9884,-0.0234,0.9895,-0.0193,0.9927,-0.0232,0.9968,-0.0355,1.0,-0.0251,0.9883,-0.0228,0.9899,-0.0233,0.9931,-0.0291,-0.018,-0.0174,-0.0191,-0.0062,-0.021,-0.0231,-0.0122,-0.0259,-0.0371,-0.0199,-0.0122,-0.0237,-0.0365,-0.0209,-0.0379,-0.0481,-0.0352,0.9394,-0.0452,-0.0183,-0.0439,-0.0223,-0.26,-0.0112,-0.271,-0.0055,-0.0154,-0.082,-0.0999,-0.0002,-0.0009,0.003,0.9556,-0.0004,-0.0293,-0.0874,-0.0511,0.0419,-0.028,,0.011
price_to_sma_200_ratio,0.1673,0.2575,0.3162,0.4015,0.5271,0.8005,0.1675,0.0947,0.396,0.0831,0.2684,0.0785,0.3619,0.0707,0.4764,0.049,0.6916,0.0166,0.8796,-0.0251,1.0,0.0797,0.3914,0.0705,0.5478,0.0508,0.7592,0.6256,0.6507,0.8731,0.56,0.0605,0.3162,0.4015,0.5271,0.8005,0.3047,0.391,0.5092,0.7678,0.06,0.0375,0.0518,0.0134,0.0742,-0.0322,-0.0188,-0.1388,-0.0305,0.0653,0.0014,0.059,0.003,-0.0228,-0.0204,-0.0275,0.2654,0.4379,0.6664,0.0886,0.4364,0.3066,0.3383,0.2988,-0.0234,0.2995,,0.0111
ema_9,-0.0054,-0.0127,-0.0069,0.0156,0.0181,0.0423,-0.0046,-0.0257,0.0235,0.9999,-0.0126,1.0,-0.0035,0.9996,0.0149,0.9979,0.0398,0.9947,0.0523,0.9883,0.0797,1.0,0.0003,0.9998,0.0189,0.9986,0.0411,0.0395,0.0516,0.0799,0.0419,-0.0268,-0.0069,0.0156,0.0181,0.0423,-0.0039,0.0152,0.0193,0.0437,-0.0248,-0.0441,-0.0564,-0.0536,0.9471,-0.0607,-0.0235,-0.0669,-0.0234,-0.2595,-0.0137,-0.2704,-0.0079,-0.0168,-0.0847,-0.1017,0.0128,0.0353,0.0706,0.9679,0.0359,-0.001,-0.0459,-0.0255,0.0347,-0.0006,,0.0115
price_to_ema_9_ratio,0.6472,0.8586,0.9125,0.8363,0.6809,0.4306,0.6525,0.1987,0.7485,0.0051,0.9116,-0.0042,0.9852,-0.0122,0.9158,-0.0183,0.6903,-0.0221,0.5274,-0.0228,0.3914,0.0003,1.0,-0.0086,0.9263,-0.0157,0.7403,0.6259,0.2032,0.0559,0.7807,0.672,0.9125,0.8363,0.6809,0.4306,0.9112,0.857,0.7141,0.4518,0.4835,-0.0567,-0.0424,-0.0314,-0.0264,-0.2335,-0.2671,-0.3287,-0.0074,0.0073,0.0393,0.0013,0.0237,-0.0174,-0.0035,-0.0193,0.799,0.603,0.374,0.0189,0.6065,0.2744,0.1143,0.3202,0.05,0.29,,-0.0008
ema_21,-0.0076,-0.0172,-0.0138,0.0047,0.0049,0.0323,-0.0069,-0.0259,0.0128,0.9995,-0.0174,0.9998,-0.0118,0.9999,0.0027,0.9989,0.0262,0.9961,0.0407,0.9899,0.0705,0.9998,-0.0086,1.0,0.0064,0.9994,0.0277,0.0252,0.0416,0.0768,0.0292,-0.0282,-0.0138,0.0047,0.0049,0.0323,-0.0109,0.0044,0.0062,0.0337,-0.024,-0.0426,-0.0554,-0.0525,0.9483,-0.0571,-0.0207,-0.0605,-0.0234,-0.2597,-0.0131,-0.2706,-0.007,-0.0166,-0.0845,-0.1018,0.0069,0.024,0.0619,0.9675,0.0245,-0.0066,-0.0494,-0.0322,0.0352,-0.0067,,0.0114
price_to_ema_21_ratio,0.4761,0.6984,0.8097,0.8857,0.8669,0.618,0.4811,0.1444,0.8203,0.0251,0.7343,0.0151,0.8981,0.0029,0.9807,-0.0119,0.8911,-0.0199,0.7233,-0.0233,0.5478,0.0189,0.9263,0.0064,1.0,-0.0066,0.9159,0.8725,0.4665,0.1342,0.9117,0.4703,0.8097,0.8857,0.8669,0.618,0.8,0.8865,0.8756,0.6226,0.2888,-0.0424,-0.0242,-0.0291,-0.0155,-0.2226,-0.2067,-0.384,-0.0042,0.0286,0.0225,0.0175,0.01,-0.0196,-0.0063,-0.0212,0.7054,0.7586,0.5293,0.0358,0.7608,0.3636,0.1721,0.4238,0.0144,0.3873,,0.0037
ema_50,-0.0092,-0.0201,-0.0185,-0.0036,-0.0093,0.0116,-0.0086,-0.0269,0.0032,0.9981,-0.0207,0.9987,-0.0177,0.9993,-0.0079,0.9998,0.0069,0.9984,0.0188,0.9931,0.0508,0.9986,-0.0157,0.9994,-0.0066,1.0,0.0082,0.0072,0.0205,0.0631,0.0146,-0.0256,-0.0185,-0.0036,-0.0093,0.0116,-0.0158,-0.0041,-0.0078,0.0128,-0.0226,-0.0403,-0.0529,-0.0489,0.9493,-0.0517,-0.0179,-0.053,-0.0233,-0.2602,-0.0124,-0.2712,-0.006,-0.0164,-0.084,-0.1017,0.0029,0.0119,0.044,0.9664,0.0124,-0.0153,-0.0575,-0.0398,0.0379,-0.015,,0.0113
price_to_ema_50_ratio,0.3352,0.5123,0.6176,0.7439,0.8615,0.841,0.3391,0.1112,0.7241,0.0468,0.5373,0.0385,0.6999,0.0261,0.8534,0.002,0.9826,-0.0176,0.9274,-0.0291,0.7592,0.0411,0.7403,0.0277,0.9159,0.0082,1.0,0.9383,0.7465,0.3602,0.8927,0.244,0.6176,0.7439,0.8615,0.841,0.6075,0.7381,0.8525,0.8357,0.1546,-0.0299,-0.0187,-0.0493,0.0016,-0.2,-0.1472,-0.3576,-0.0107,0.0506,0.0105,0.0406,0.0006,-0.0227,-0.0129,-0.0251,0.5323,0.7428,0.7158,0.0539,0.7433,0.415,0.2589,0.4405,-0.0368,0.4258,,0.0083
ema_9_to_21_spread,0.1545,0.331,0.4933,0.7494,0.9139,0.7205,0.1608,0.0257,0.7197,0.0461,0.3422,0.0375,0.584,0.0225,0.8451,-0.0003,0.9518,-0.0122,0.8143,-0.018,0.6256,0.0395,0.6259,0.0252,0.8725,0.0072,0.9383,1.0,0.7061,0.2027,0.8692,0.0897,0.4933,0.7494,0.9139,0.7205,0.4901,0.7395,0.9028,0.7132,-0.0304,-0.0447,-0.0204,-0.0358,-0.0031,-0.1893,-0.1248,-0.3949,0.0014,0.0456,-0.0158,0.032,-0.0291,-0.0176,-0.0239,-0.0224,0.4266,0.7912,0.6102,0.0503,0.7925,0.3983,0.2086,0.4618,-0.038,0.4269,,0.0084
sma_20_to_50_spread,0.0464,0.0802,0.1171,0.2199,0.5598,0.7801,0.0489,0.0156,0.303,0.0541,0.0868,0.0519,0.1529,0.0445,0.3285,0.0116,0.809,-0.0083,0.8109,-0.0174,0.6507,0.0516,0.2032,0.0416,0.4665,0.0205,0.7465,0.7061,1.0,0.3367,0.5491,-0.1824,0.1171,0.2199,0.5598,0.7801,0.1221,0.223,0.5382,0.7672,-0.0463,-0.0153,-0.0177,-0.0416,0.0146,-0.1185,-0.0488,-0.2186,-0.0113,0.0609,-0.0104,0.061,-0.0269,-0.0186,-0.0166,-0.0102,0.0936,0.478,0.6686,0.0509,0.4769,0.3402,0.2226,0.2947,-0.1055,0.3173,,0.0291
sma_50_to_200_spread,0.017,0.0295,0.0387,0.0619,0.1206,0.534,0.0143,0.0653,0.0607,0.0806,0.0283,0.0798,0.0463,0.0779,0.0847,0.0662,0.2576,0.0325,0.5838,-0.0191,0.8731,0.0799,0.0559,0.0768,0.1342,0.0631,0.3602,0.2027,0.3367,1.0,0.162,-0.0453,0.0387,0.0619,0.1206,0.534,0.0279,0.0522,0.1075,0.512,-0.0039,0.0485,0.052,0.0158,0.0932,0.0638,0.0633,0.0321,-0.0359,0.0487,-0.0057,0.0479,0.0045,-0.0161,-0.0265,-0.0316,0.0202,0.0763,0.4311,0.0854,0.0745,0.142,0.3149,0.1106,-0.0137,0.1259,,0.0042
rsi_14,0.3617,0.5552,0.6638,0.7908,0.8416,0.6411,0.3585,0.1455,0.8964,0.0478,0.5781,0.0387,0.7501,0.0264,0.8842,0.0086,0.8834,-0.0012,0.7384,-0.0062,0.56,0.0419,0.7807,0.0292,0.9117,0.0146,0.8927,0.8692,0.5491,0.162,1.0,0.4187,0.6638,0.7908,0.8416,0.6411,0.6219,0.7544,0.8123,0.6246,0.1754,-0.0258,-0.0145,-0.0316,0.0093,-0.1677,-0.0809,-0.343,-0.0052,0.0015,0.0287,-0.0038,0.0254,-0.024,0.0026,-0.0262,0.5524,0.7153,0.5384,0.0582,0.7158,0.3977,0.1942,0.4487,-0.0325,0.4246,,0.0064
rsi_momentum_5d,0.4334,0.6857,0.8234,0.4293,0.1911,0.0422,0.4264,0.1892,0.4926,-0.0251,0.7071,-0.031,0.713,-0.0302,0.4721,-0.024,0.1855,-0.0216,0.0918,-0.021,0.0605,-0.0268,0.672,-0.0282,0.4703,-0.0256,0.244,0.0897,-0.1824,-0.0453,0.4187,1.0,0.8234,0.4293,0.1911,0.0422,0.7547,0.4065,0.1878,0.0433,0.76,0.0133,0.0091,0.0079,-0.0223,-0.0616,-0.0593,-0.0737,-0.0023,0.001,0.055,0.0015,0.0642,-0.021,0.0378,0.0065,0.6872,0.1593,0.0318,-0.0105,0.1596,0.0901,0.0214,0.1073,0.0824,0.0907,,-0.0138
roc_5d,0.4975,0.7932,1.0,0.7187,0.547,0.3419,0.5019,0.1603,0.6437,-0.0027,0.8286,-0.0118,0.935,-0.0167,0.7978,-0.0202,0.5661,-0.0226,0.4244,-0.0231,0.3162,-0.0069,0.9125,-0.0138,0.8097,-0.0185,0.6176,0.4933,0.1171,0.0387,0.6638,0.8234,1.0,0.7187,0.547,0.3419,0.9691,0.729,0.5703,0.3569,0.7261,-0.018,-0.0183,-0.0125,-0.0234,-0.1814,-0.2066,-0.255,0.0012,0.0253,0.0338,0.0155,0.0307,-0.0159,0.0103,-0.0092,0.8728,0.4815,0.295,0.0107,0.4839,0.2211,0.0932,0.2625,0.0608,0.2313,,-0.0079
roc_10d,0.3537,0.5585,0.7187,1.0,0.7104,0.451,0.358,0.1139,0.745,0.0223,0.5874,0.0114,0.8398,-0.0001,0.919,-0.0067,0.7048,-0.0105,0.5401,-0.0122,0.4015,0.0156,0.8363,0.0047,0.8857,-0.0036,0.7439,0.7494,0.2199,0.0619,0.7908,0.4293,0.7187,1.0,0.7104,0.451,0.7015,0.9707,0.7157,0.4438,0.0445,-0.0107,0.0009,-0.0021,-0.0043,-0.1628,-0.1492,-0.3113,-0.0122,0.0164,0.0135,-0.0003,0.0202,-0.0193,0.0029,-0.0193,0.6317,0.6273,0.3859,0.031,0.6292,0.2854,0.1111,0.3373,0.0391,0.3155,,0.0078
roc_20d,0.2797,0.4473,0.547,0.7104,1.0,0.5963,0.2829,0.08,0.7582,0.0238,0.4632,0.016,0.6268,0.0019,0.8518,-0.0158,0.8688,-0.0225,0.6988,-0.0259,0.5271,0.0181,0.6809,0.0049,0.8669,-0.0093,0.8615,0.9139,0.5598,0.1206,0.8416,0.1911,0.547,0.7104,1.0,0.5963,0.5357,0.6985,0.9732,0.5709,0.0847,0.002,0.0409,0.0368,-0.0075,-0.1234,-0.1116,-0.384,0.0084,0.0515,0.0047,0.0422,-0.0181,-0.015,-0.0074,-0.0051,0.4713,0.8707,0.5086,0.0306,0.8706,0.3499,0.1722,0.4965,-0.015,0.4039,,0.0108
